n_irreg_TOTAL;n_irreg_EDUC
42;3
66;28
71;31
144;57
98;46
98;22
47;8
29;6
39;9
149;97
150;44
75;32
136;41
80;11
62;22
136;47
32;9
60;11
47;21
180;82
55;6
26;3
75;12
46;14
68;33
42;15
197;85
42;1
77;27
90;48
53;18
47;16
56;14
135;22
46;18
69;44
51;11
20;7
45;8
70;3
85;26
25;9
58;11
52;14
90;64
62;19
42;8
170;64
62;23
95;52
36;15
42;6
32;12
57;16
74;48
21;8
37;15
85;35
51;13
157;41
23;0
79;30
94;32
253;53
99;42
126;56
42;6
111;71
113;17
59;23
46;12
46;8
53;22
60;40
110;35
67;19
27;1
100;30
30;12
39;9
110;34
215;32
57;14
67;4
49;17
32;12
114;49
47;9
91;13
32;4
44;24
29;10
36;26
47;0
79;31
67;29
33;16
28;13
64;36
43;32
103;51
68;22
68;38
96;10
61;21
104;86
103;63
39;14
31;9
50;20
42;1
58;26
36;12
45;12
47;8
60;22
43;0
44;6
58;8
19;0
40;0
37;10
102;30
15;3
66;16
107;41
33;7
96;53
56;35
43;14
276;48
58;35
66;5
35;0
70;12
76;31
41;13
50;8
60;28
51;32
139;53
101;53
21;9
61;16
77;12
48;25
73;28
61;8
50;19
36;12
47;9
90;32
32;6
23;1
32;10
20;1
32;9
32;17
47;17
36;2
54;10
138;12
36;11
5;1
27;6
29;6
37;13
23;8
72;22
62;19
144;80
65;7
22;10
55;14
116;7
94;39
51;16
103;40
55;32
60;20
98;35
55;14
59;28
142;27
95;13
9;9
85;15
56;16
72;28
77;27
87;27
68;23
39;12
77;17
71;50
33;6
65;26
47;9
35;14
80;16
75;0
68;21
63;25
58;17
42;19
29;2
43;13
36;17
55;9
86;21
116;34
57;22
36;0
68;25
33;7
136;53
42;13
53;32
67;31
145;32
11;2
29;20
44;11
65;6
26;0
105;23
219;35
71;33
43;11
51;10
83;20
69;56
59;21
75;13
89;18
30;7
115;54
96;28
43;8
71;29
75;13
53;9
83;47
52;6
51;2
88;9
44;12
47;8
24;1
73;5
50;8
67;26
44;0
40;15
120;53
57;6
86;32
31;9
101;20
19;7
40;11
80;53
111;48
34;11
34;9
68;40
55;9
58;26
41;5
64;0
184;47
109;20
35;7
10;0
86;4
51;4
63;31
110;18
67;10
70;19
76;15
40;15
56;28
96;30
68;10
59;10
237;0
120;43
67;35
68;28
83;38
52;18
38;0
77;31
24;4
66;18
82;32
55;10
39;3
56;18
115;39
114;73
87;23
63;22
43;0
124;59
68;32
81;20
108;60
27;2
120;49
50;12
55;11
83;15
109;25
58;22
89;13
76;28
57;26
16;1
45;22
27;9
71;14
31;1
40;8
54;9
69;30
66;37
50;12
48;12
86;57
60;31
80;0
58;15
74;28
29;10
33;6
78;26
58;13
38;16
66;12
94;51
73;18
62;29
95;14
60;14
38;8
47;9
60;22
17;3
103;72
103;39
54;23
44;28
16;0
27;2
53;11
41;3
33;16
86;42
68;25
155;73
72;34
104;18
53;23
21;14
48;9
77;6
92;27
38;2
140;43
51;16
115;24
31;10
50;12
42;20
82;30
103;19
39;9
82;7
47;20
104;7
79;42
91;17
52;15
56;9
20;2
73;23
66;31
28;3
64;11
54;23
68;13
72;31
59;22
62;13
99;52
51;23
50;25
24;10
70;19
57;4
44;2
79;32
202;55
40;15
40;10
72;34
57;15
45;34
39;14
68;11
68;9
18;6
72;22
80;31
33;5
71;14
84;26
10;0
37;29
94;30
62;11
59;12
54;5
78;26
97;22
101;53
54;21
47;9
55;17
67;16
70;34
68;37
102;38
136;54
68;23
18;5
57;20
29;4
43;3
70;23
69;34
97;38
30;0
48;14
45;15
43;13
87;27
19;1
84;1
41;9
71;37
29;4
67;15
53;2
57;8
43;17
61;15
67;16
41;0
39;14
50;21
48;19
161;31
234;60
77;43
59;32
77;22
69;29
46;6
65;10
76;16
113;40
48;10
41;5
66;29
37;26
49;20
66;7
52;21
40;12
118;30
36;17
66;29
74;39
144;36
51;10
110;51
45;12
49;7
59;22
28;12
42;16
100;35
168;28
42;4
43;10
53;13
48;10
41;6
50;8
116;29
50;10
33;23
70;31
81;29
71;19
32;9
33;9
59;5
40;6
59;11
61;19
164;68
34;9
63;7
108;60
102;13
129;57
33;32
50;19
49;13
40;9
20;3
35;2
107;46
53;27
29;5
109;43
117;55
103;48
40;17
20;0
61;26
58;18
97;19
46;14
53;15
81;11
75;27
70;26
59;24
39;2
85;32
61;41
66;13
81;30
45;2
47;13
99;35
105;56
79;17
43;25
56;17
49;14
32;8
51;20
29;10
110;22
20;5
42;30
62;19
43;16
56;9
27;0
54;8
78;13
67;31
26;0
80;35
85;19
128;27
89;31
59;13
128;57
60;19
58;8
110;21
71;7
72;8
37;4
46;11
44;12
58;16
57;6
85;30
162;34
69;15
55;20
52;19
60;28
50;22
74;17
79;14
35;7
43;15
86;42
78;32
57;27
85;36
27;10
69;20
125;41
99;53
72;13
67;38
64;9
77;49
72;42
39;5
128;40
199;51
60;26
66;13
53;15
91;21
45;17
100;18
43;12
72;23
17;5
66;18
23;1
137;46
76;52
62;6
31;1
38;13
65;19
54;20
71;7
45;11
33;10
45;14
90;0
75;4
135;32
129;27
52;11
59;18
78;27
50;14
55;21
14;5
25;5
44;16
81;30
80;25
63;12
70;36
122;25
44;14
52;13
53;27
126;61
67;27
96;13
53;26
74;35
52;10
90;8
73;8
74;37
42;0
17;11
69;5
15;4
87;42
94;38
51;12
33;2
102;13
43;13
133;40
78;25
39;3
44;9
32;5
39;11
31;7
90;24
26;8
42;7
55;8
58;25
52;23
82;29
44;15
32;1
40;12
33;8
118;49
33;9
56;21
91;36
39;11
36;2
46;11
161;34
66;33
67;31
49;6
31;12
42;13
78;0
40;7
73;4
55;26
41;16
103;0
50;10
68;3
54;23
98;36
72;19
58;40
62;0
64;28
69;22
49;19
73;39
12;8
54;14
88;24
57;14
43;17
68;40
16;4
34;4
132;27
57;12
81;13
81;12
92;49
111;43
65;25
25;8
42;8
61;8
47;4
93;24
44;10
78;34
62;35
70;28
38;12
57;8
32;9
57;7
76;12
82;36
26;8
63;27
98;17
28;3
167;69
28;2
53;7
91;30
86;12
30;7
24;11
57;26
74;13
85;11
125;20
115;26
68;9
18;4
49;35
40;8
18;7
77;29
52;0
136;56
177;62
192;37
117;24
47;9
57;20
53;18
32;6
59;30
38;22
132;25
124;49
108;18
62;17
65;19
42;15
115;17
43;12
62;11
29;4
70;23
90;59
58;32
119;41
83;13
57;15
83;30
74;26
77;39
54;19
63;46
73;29
61;17
77;6
44;17
47;20
38;6
63;7
43;15
110;9
66;20
36;1
42;6
20;6
69;24
40;13
44;3
51;11
55;15
71;25
63;37
29;22
77;9
75;39
30;9
132;81
64;22
78;26
71;10
29;11
47;11
61;31
40;0
94;25
51;9
20;4
32;10
42;4
61;4
49;13
44;0
41;7
92;27
88;15
89;18
68;4
94;39
72;24
118;40
59;11
52;12
38;6
34;7
95;29
163;67
253;0
35;0
48;17
65;25
52;17
44;10
111;15
101;20
64;3
52;18
82;58
73;29
88;14
86;26
15;4
122;38
24;8
113;33
71;4
45;16
70;7
71;12
85;36
93;23
33;7
166;6
111;15
46;17
49;8
29;10
55;17
46;7
90;11
21;2
25;6
106;41
40;13
59;30
54;18
36;9
59;17
39;8
116;32
68;20
24;12
90;10
143;32
51;17
44;5
104;7
52;8
33;4
124;13
53;9
42;12
27;14
51;26
22;1
21;8
16;6
34;8
53;15
72;18
48;18
79;28
71;27
72;37
82;19
96;41
100;24
81;26
113;52
43;13
9;0
42;13
13;0
59;4
111;26
274;155
112;27
45;17
26;5
139;44
31;7
36;5
60;5
28;12
54;17
114;82
64;23
61;22
103;21
70;19
111;8
48;2
77;24
19;6
34;12
50;3
50;9
62;15
39;30
43;14
37;12
33;5
46;5
57;18
41;13
68;36
78;17
67;27
120;25
56;15
109;18
104;30
100;62
121;28
133;31
33;4
49;5
89;47
102;36
78;20
38;5
19;0
45;9
165;46
41;10
25;1
56;12
44;15
97;63
123;27
184;80
97;30
131;58
95;15
77;40
22;6
47;7
31;12
62;25
42;10
45;5
106;37
57;6
24;1
36;1
21;4
20;5
45;0
12;0
83;22
110;48
66;19
64;36
145;0
119;59
26;5
99;9
76;32
91;8
51;22
79;24
36;2
56;6
23;8
44;18
71;24
69;9
82;19
124;41
65;16
91;50
72;12
65;29
101;21
102;21
122;36
68;0
75;11
75;33
117;13
57;16
82;22
77;34
75;9
74;15
130;61
36;1
80;50
69;22
54;1
49;19
42;7
38;20
130;45
32;3
50;8
90;25
25;7
135;42
33;0
71;38
138;38
82;26
58;13
42;15
44;18
112;52
67;22
35;15
91;5
61;31
42;32
49;17
60;20
45;16
91;22
92;39
100;18
25;4
66;11
33;10
22;9
45;10
84;30
55;12
46;19
49;13
22;2
52;28
33;3
40;14
43;7
47;12
68;6
63;14
42;6
61;22
79;31
25;11
70;17
38;10
116;33
86;39
53;17
59;16
59;20
49;5
31;6
41;3
132;56
39;14
60;10
73;23
62;36
119;44
155;27
35;19
51;8
63;9
44;20
26;4
37;8
160;65
60;25
127;60
77;21
137;44
132;38
108;15
71;13
89;26
67;10
95;9
94;25
52;8
38;5
156;40
75;22
101;43
30;8
23;11
101;29
82;24
92;26
70;10
79;29
61;24
119;57
69;12
88;29
54;30
21;7
111;24
63;31
128;67
35;14
54;11
133;54
61;33
51;3
73;30
51;12
64;9
43;12
47;18
49;15
36;5
69;22
49;7
44;24
91;34
102;12
43;14
69;18
70;25
53;19
90;27
39;1
103;36
38;9
44;19
116;43
90;13
89;41
82;22
132;12
51;19
63;17
42;10
60;3
6;3
96;41
38;12
52;18
58;11
33;18
154;46
76;2
66;16
94;30
58;7
49;33
49;4
54;20
71;25
53;10
40;6
72;29
48;9
56;11
43;8
53;0
37;6
69;30
40;11
73;10
56;4
29;14
40;12
147;60
